,ID,TopicID,Source,VideoName,Duration,Format,Title,Duplicate,Url,Category,Tags,Description,Author
0,1,1,YouTube,1_1_Y.flv,01:03,flv,The Lion Sleeps Tonight,0,http://www.youtube.com/watch?v=d3hJhyOQ_eA,News & Blogs,lion sleep tonight,The lion sleeps tonight,Sommersturm2005
1,2,1,YouTube,1_2_Y.flv,01:03,flv,The Lion Sleeps Tonight,0,http://www.youtube.com/watch?v=CCz1kmfqL7g,Arts & Animation,lion sleep sleeps tonight,The Lion Sleeps Tonight,spidey18
2,3,1,YouTube,1_3_Y.flv,02:38,flv,The Lion Sleeps Tonight,0,http://www.youtube.com/watch?v=9q3rB1nusv4,Arts & Animation,The Lion Sleeps Tonight,The Lion Sleeps Tonight,monmonsnow
3,4,1,YouTube,1_4_Y.flv,01:03,flv,The lion sleeps tonight,0,http://www.youtube.com/watch?v=b7ze8wgFi_A,Pets & Animals,The lion sleeps tonight,Very Funny the recreation in this video of the song The lion sleeps tonight,Rik
4,5,1,YouTube,1_5_Y.flv,02:40,flv,Lion Sleeps Tonight,0,http://www.youtube.com/watch?v=nlnWWlLpm_8,Music,NSYNC Lion Sleeps Tonight Live,NSYNC singing the Lion Sleeps Tonight live possibly for the first time.,stuffnfluff
5,6,1,YouTube,1_6_Y.flv,01:03,flv,The lion sleeps tonight,0,http://www.youtube.com/watch?v=BRutOKMEzSE,Arts & Animation,The lion sleeps tonight,The lion sleeps tonight,MarkoChan
6,7,1,YouTube,1_7_Y.flv,02:38,flv,the lion sleeps tonight (animation),0,http://www.youtube.com/watch?v=lyjq9RJ-_yM,Arts & Animation,the lion sleeps tonight,this is so cute  it was the inspiration form our own version of the lion sleeps tonight . if you want to get a copy you can get it at http://www.sendspace.com/file/jbmms2,tinterz
7,8,1,YouTube,1_8_Y.flv,00:34,flv,the lion sleeps tonight.,0,http://www.youtube.com/watch?v=WJqwMw3RC9g,Music,the lion sleeps tonight marianne ramos,the lion sleeps tonight.,marianneramos
8,9,1,YouTube,1_9_Y.flv,02:50,flv,LION SLEEPS TONIGHT,0,http://www.youtube.com/watch?v=PoPSGkAB3Bg,Music,lion sleeps tonight in the jungle,haha me Haley and Julie doing ourr own rendition of THE LION SLEEPS tonight,jillschneider23
9,10,1,YouTube,1_10_Y.flv,01:03,flv,The Lion Sleeps Tonight,0,http://www.youtube.com/watch?v=gx_awYxyids,Entertainment,the lion sleeps tonight,The Lion Sleeps Tonight,calebmw
10,11,1,YouTube,1_11_Y.flv,01:03,flv,The Lion Sleeps Tonight,0,http://www.youtube.com/watch?v=aCWmYp0gTMw,Pets & Animals,The Lion Sleeps Tonight,The Lion Sleeps Tonight,GollNick
11,12,1,YouTube,1_12_Y.flv,01:03,flv,The lion sleeps tonight,0,http://www.youtube.com/watch?v=Ig3iFZjYMSg,Arts & Animation,lion sleeps tonight,The lion sleeps tonight,saskialex
12,13,1,YouTube,1_14_Y.flv,01:02,flv,lion sleeps tonight,0,http://www.youtube.com/watch?v=yjDSf7ZpI20,People,lion sleeps tonight,lion sleeps tonight,howdarntragic
13,14,1,YouTube,1_15_Y.flv,01:11,flv,The lion sleeps tonight,0,http://www.youtube.com/watch?v=I2g6jGVlHVM,Comedy,lion sleeps tonight,The lion sleeps tonight,StripTeaseVideosss
14,15,1,YouTube,1_16_Y.flv,01:40,flv,The Lion sleeps tonight,0,http://www.youtube.com/watch?v=8NnWzQ2J7S4,Music,The Lion sleeps tonight,2BMC The Lion sleeps tonight,binzto
15,16,1,YouTube,1_17_Y.flv,01:03,flv,lion sleep tonight,0,http://www.youtube.com/watch?v=XsCQzGeq514,Comedy,lion sleep tonight,lion sleep tonight,megabonk
16,17,1,YouTube,1_18_Y.flv,01:03,flv,The_lion_sleeps_tonight,0,http://www.youtube.com/watch?v=B1oPIlmEpQY,Arts & Animation,The_lion_sleeps_tonight,The_lion_sleeps_tonight,lilying
17,18,1,YouTube,1_19_Y.flv,01:02,flv,The Lion Sleeps Tonight,0,http://www.youtube.com/watch?v=aCRF0EO7mV0,Comedy,The Lion Sleeps Tonight,the lion sleeps tonight,mlerox2010
18,19,1,YouTube,1_20_Y.flv,01:03,flv,The Lion Sleeps Tonight,0,http://www.youtube.com/watch?v=2BIEk91gdHE,Entertainment,lion sleeps tonight,"A big hippo singing \The Lion Sleeps Tonight\""  and some cool dog dancing  wahehe""",jealousy14
19,20,1,YouTube,1_21_Y.flv,03:00,flv,Lion Sleeps Tonight,0,http://www.youtube.com/watch?v=FZUE8EqcIsA,Music,Lion Sleeps Tonight Paul Simon Heshey Land,Lion Sleeps Tonight - Paul Simon,alexwmacd
20,21,1,YouTube,1_22_Y.flv,02:33,flv,The Lion Sleeps Tonight,0,http://www.youtube.com/watch?v=4RuHEvzW70U,Comedy,Lion Sleeps Tonight VBS Joey Louis,A Remix of The Lion Sleeps Tonight,chihiro22
21,22,1,YouTube,1_23_Y.flv,01:03,flv,THE LION SLEEPS TONIGHT,0,http://www.youtube.com/watch?v=cjpElWgBHis,Entertainment,the lion sleeps tonight pat stanley animation,at and stanley in the lion sleeps tonight,lorenzofanni
22,23,1,YouTube,1_24_Y.flv,01:10,flv,Lion sleeps tonight,0,http://www.youtube.com/watch?v=fKyDv7v0PhI,Arts & Animation,lion tonight sleeps cool webfunnyfiles,The lion sleeps tonight,webfunnyfiles
23,24,1,YouTube,1_25_Y.flv,02:29,flv,kinderdisco the lion sleep tonight,0,http://www.youtube.com/watch?v=TlRl4kGiSZ8,Entertainment,the lion sleep tonight,Kinderdisco the lion sleep tonight,anjacam
24,25,1,YouTube,1_26_Y.flv,02:38,flv,The Lion Sleeps Tonight,0,http://www.youtube.com/watch?v=vvvhcbRIcBA,Music,lion sleeps tonight tokens hippo dog singing dancing funny humor,"Funny video with a hippo and a dog, singing and dancing to The Tokens' The Lion Sleeps Tonight",bodifar
25,26,1,YouTube,1_27_Y.flv,01:03,flv,The Lion Sleeps Tonight,0,http://www.youtube.com/watch?v=X-MW794QcQE,Arts & Animation,lion sleeps tonight,"A Hippo & a dog singing the song \The Lion Sleeps Tonight\""""",msmk
26,27,1,YouTube,1_28_Y.flv,00:24,flv,lion sleeps tonight,0,http://www.youtube.com/watch?v=FDbca_671UQ,Music,lion sleeps tonight,"desktop singing man with 'in the jungle, the lion sleeps tonight'",dvcarruth
27,28,1,YouTube,1_29_Y.flv,01:03,flv,the lion sleeps tonight,0,http://www.youtube.com/watch?v=SLRdkD_aRG8,Comedy,the lion sleeps tonight,the lion sleeps tonight sung by a big hippo and a dog,blackparade222
28,29,1,YouTube,1_30_Y.flv,01:03,flv,lion sleep tonight,0,http://www.youtube.com/watch?v=Do7xvnTOJc4,Pets & Animals,lion sleep tonight funny animal,"lion sleep tonight,funny animal!",friskcarl
29,30,1,YouTube,1_31_Y.flv,02:23,flv,The Short Lion Sleeps Tonight,0,http://www.youtube.com/watch?v=shzAenEODjU,Comedy,The Short Lion Sleeps Tonight,The Short Lion Sleeps Tonight,MarcosAndMad
30,31,1,YouTube,1_32_Y.flv,00:25,flv,The lions sleeps tonight very funny,0,http://www.youtube.com/watch?v=9QK6t7fmMis,Comedy,The lions sleeps tonight,the lions sleeps tonight,cooltan
31,32,1,YouTube,1_33_Y.flv,01:12,flv,the lion sleeps tonight,0,http://www.youtube.com/watch?v=gIbNwjUxALc,Entertainment,stupid dancing lion sleeps tonight,us acting stupid dancing to the lion sleeps tonight.,Kandikizzez254
