,filename,cluster,original_basename_q,original_basename_m,isUnique
0,7d88847165794ae6a90e6336571da918,0,Wa5_fQVlU1w-482f5996d46f7ce369ee9222ee6821fb,Wa5_fQVlU1w-482f5996d46f7ce369ee9222ee6821fb,False
1,oCQgqyQaFj4-fbeaafdb4054a30e4bc9ae66713f445c,1,oCQgqyQaFj4-fbeaafdb4054a30e4bc9ae66713f445c,oCQgqyQaFj4-fbeaafdb4054a30e4bc9ae66713f445c,True
2,b37a3303c8834fd99833e95746088ca3,2,G9LRUrGmUvA-211e0156bbd6a97e70e21e54bf64bff2,G9LRUrGmUvA-211e0156bbd6a97e70e21e54bf64bff2,False
3,S21kK7M8wz0-4a910daa08b9eac3aeef6019e2eb22f5,3,S21kK7M8wz0-4a910daa08b9eac3aeef6019e2eb22f5,S21kK7M8wz0-4a910daa08b9eac3aeef6019e2eb22f5,True
4,iarTmYN_cFw-cbec9d312f1eda1d3305c0f48de927ad,4,iarTmYN_cFw-cbec9d312f1eda1d3305c0f48de927ad,iarTmYN_cFw-cbec9d312f1eda1d3305c0f48de927ad,True
5,bf98e9176e724b0686ab3ccf000b27fd,5,qxaCQFr1ywA-70795193fbef384b469aed1ae3c12c14,qxaCQFr1ywA-70795193fbef384b469aed1ae3c12c14,False
6,uvikkyNIhHA-d9575536ba02ebf0dbcf4f80db176700,6,uvikkyNIhHA-d9575536ba02ebf0dbcf4f80db176700,uvikkyNIhHA-d9575536ba02ebf0dbcf4f80db176700,True
7,WiCiQXF4Y5w-4111d16ba5eb5d12719f77bca79f9dc1,7,WiCiQXF4Y5w-4111d16ba5eb5d12719f77bca79f9dc1,WiCiQXF4Y5w-4111d16ba5eb5d12719f77bca79f9dc1,True
8,K49e3L7pt0E-98123d72629bb02bc3925bed5c017721,8,K49e3L7pt0E-98123d72629bb02bc3925bed5c017721,K49e3L7pt0E-98123d72629bb02bc3925bed5c017721,True
9,9df15eb9743a414785732de23a7b480f,9,gfi9svfxxCM-3244172cdf3f41daded3bc06ab67d619,gfi9svfxxCM-3244172cdf3f41daded3bc06ab67d619,False
10,becdd47c234c4ce6813ced80dc7c2abc,10,NtDPmh9PBCE-eb944ef0fd04245361b5270319febe56,NtDPmh9PBCE-eb944ef0fd04245361b5270319febe56,False
11,a7a80a8ed4d546728ba451cb65f445c4,11,1TTBun1tpTE-e44b855baebe2869468ddd4ec08af9b1,1TTBun1tpTE-e44b855baebe2869468ddd4ec08af9b1,False
12,c90878821c3e446c8fd2d43a3a2c212e,12,jaQW6t_IUpk-1c3db9a644fdf010dacb79108abe1785,jaQW6t_IUpk-1c3db9a644fdf010dacb79108abe1785,False
13,8bWrjGdeO7s-e94398b4c162a7497030a49a29904a48,13,8bWrjGdeO7s-e94398b4c162a7497030a49a29904a48,8bWrjGdeO7s-e94398b4c162a7497030a49a29904a48,True
14,3bb8d54de1f44272808d613654c616d4,14,W3UHKYaFdhg-7eb90000efc9da69d64b248cefadb023,W3UHKYaFdhg-7eb90000efc9da69d64b248cefadb023,False
15,BiX-5wtm61I-801b4dce2ba967cf0ac6fa31af64e4a8,15,BiX-5wtm61I-801b4dce2ba967cf0ac6fa31af64e4a8,BiX-5wtm61I-801b4dce2ba967cf0ac6fa31af64e4a8,True
16,9d733935f3e642adb1da1c234e77dae3,16,R1WilFnYuUQ-48093d0372477e02b4729e5b123878a3,R1WilFnYuUQ-48093d0372477e02b4729e5b123878a3,False
17,832a91f295c84f6fbc1574638e794b8d,17,Mwi_5yFWlac-93b41f309974d7328d626db2dda4780e,Mwi_5yFWlac-93b41f309974d7328d626db2dda4780e,False
18,oozFrlax-w4-743e0f334c554aeabe24af3f2b06c461,18,oozFrlax-w4-743e0f334c554aeabe24af3f2b06c461,oozFrlax-w4-743e0f334c554aeabe24af3f2b06c461,True
19,9a59ef4f9944422c9efdbaf954cedb22,19,VDDLDbwqD_8-f31693a9c12778b384c75d18625d6b6e,VDDLDbwqD_8-f31693a9c12778b384c75d18625d6b6e,False
20,934fc1d6addc45898a24efb467896930,20,njZrG5cjfBo-e9eb190d20dfc20c0d7817819d7cbb8c,njZrG5cjfBo-e9eb190d20dfc20c0d7817819d7cbb8c,False
21,oE1OF5_gZ1k-11fa05f7a5e9672d656c190c82d1d2b1,21,oE1OF5_gZ1k-11fa05f7a5e9672d656c190c82d1d2b1,oE1OF5_gZ1k-11fa05f7a5e9672d656c190c82d1d2b1,True
22,558b0ce20eeb4c389170a329eea8fa41,22,xJbEsCKYsEk-d798885afce72ee6d5a7e1b55a9a163f,xJbEsCKYsEk-d798885afce72ee6d5a7e1b55a9a163f,False
23,1d1eab86971e4391a853078447332d69,23,H6q_C70KwpM-67595e0d7be55383e30bf0f4418dc9b3,H6q_C70KwpM-67595e0d7be55383e30bf0f4418dc9b3,False
24,4d6183e8cb004454826e9a435057cfb5,24,27ARq1AJZyg-c261b5315bfb8b1e0552a35705c17184,27ARq1AJZyg-c261b5315bfb8b1e0552a35705c17184,False
25,a0e5b92bb1e843648b69e684d24ab9b3,25,bhUSJEpNwBs-6001935c454b584c7579acc5f2691dbb,bhUSJEpNwBs-6001935c454b584c7579acc5f2691dbb,False
26,91ae6cb2f5be4b27bf9ffcb1bd020594,26,8Rvu-jlsaOU-5b988b26edd0096ea42d3b804621d297,8Rvu-jlsaOU-5b988b26edd0096ea42d3b804621d297,False
27,39fbfec7852247e68a4941825db39274,27,PJEBMgFK7hA-55e6178eb9e5fd0976a0b3c5697e77c0,PJEBMgFK7hA-55e6178eb9e5fd0976a0b3c5697e77c0,False
28,pm2tA7WOjmw-0090b8fcac8378ab2b7c81217f7acee0,28,pm2tA7WOjmw-0090b8fcac8378ab2b7c81217f7acee0,pm2tA7WOjmw-0090b8fcac8378ab2b7c81217f7acee0,True
29,RoTpbb2KrSo-7afb304058706da1c07e295a16fcc2e5,29,RoTpbb2KrSo-7afb304058706da1c07e295a16fcc2e5,RoTpbb2KrSo-7afb304058706da1c07e295a16fcc2e5,True
30,6e75236e73ad456999accf246d618560,30,A4m9YvUzG2Y-ed876e1b27995cff531358ca11d7de60,A4m9YvUzG2Y-ed876e1b27995cff531358ca11d7de60,False
