,filename,cluster,original_basename_q,original_basename_m,isUnique
0,7d88847165794ae6a90e6336571da918,0,Wa5_fQVlU1w-482f5996d46f7ce369ee9222ee6821fb,Wa5_fQVlU1w-482f5996d46f7ce369ee9222ee6821fb,False
1,oCQgqyQaFj4-fbeaafdb4054a30e4bc9ae66713f445c,1,oCQgqyQaFj4-fbeaafdb4054a30e4bc9ae66713f445c,oCQgqyQaFj4-fbeaafdb4054a30e4bc9ae66713f445c,True
2,b37a3303c8834fd99833e95746088ca3,2,G9LRUrGmUvA-211e0156bbd6a97e70e21e54bf64bff2,G9LRUrGmUvA-211e0156bbd6a97e70e21e54bf64bff2,False
4,iarTmYN_cFw-cbec9d312f1eda1d3305c0f48de927ad,4,iarTmYN_cFw-cbec9d312f1eda1d3305c0f48de927ad,iarTmYN_cFw-cbec9d312f1eda1d3305c0f48de927ad,True
5,bf98e9176e724b0686ab3ccf000b27fd,5,qxaCQFr1ywA-70795193fbef384b469aed1ae3c12c14,qxaCQFr1ywA-70795193fbef384b469aed1ae3c12c14,False
6,uvikkyNIhHA-d9575536ba02ebf0dbcf4f80db176700,6,uvikkyNIhHA-d9575536ba02ebf0dbcf4f80db176700,uvikkyNIhHA-d9575536ba02ebf0dbcf4f80db176700,True
7,WiCiQXF4Y5w-4111d16ba5eb5d12719f77bca79f9dc1,7,WiCiQXF4Y5w-4111d16ba5eb5d12719f77bca79f9dc1,WiCiQXF4Y5w-4111d16ba5eb5d12719f77bca79f9dc1,True
9,9df15eb9743a414785732de23a7b480f,9,gfi9svfxxCM-3244172cdf3f41daded3bc06ab67d619,gfi9svfxxCM-3244172cdf3f41daded3bc06ab67d619,False
10,becdd47c234c4ce6813ced80dc7c2abc,10,NtDPmh9PBCE-eb944ef0fd04245361b5270319febe56,NtDPmh9PBCE-eb944ef0fd04245361b5270319febe56,False
11,a7a80a8ed4d546728ba451cb65f445c4,11,1TTBun1tpTE-e44b855baebe2869468ddd4ec08af9b1,1TTBun1tpTE-e44b855baebe2869468ddd4ec08af9b1,False
13,8bWrjGdeO7s-e94398b4c162a7497030a49a29904a48,13,8bWrjGdeO7s-e94398b4c162a7497030a49a29904a48,8bWrjGdeO7s-e94398b4c162a7497030a49a29904a48,True
14,3bb8d54de1f44272808d613654c616d4,14,W3UHKYaFdhg-7eb90000efc9da69d64b248cefadb023,W3UHKYaFdhg-7eb90000efc9da69d64b248cefadb023,False
16,9d733935f3e642adb1da1c234e77dae3,16,R1WilFnYuUQ-48093d0372477e02b4729e5b123878a3,R1WilFnYuUQ-48093d0372477e02b4729e5b123878a3,False
17,832a91f295c84f6fbc1574638e794b8d,17,Mwi_5yFWlac-93b41f309974d7328d626db2dda4780e,Mwi_5yFWlac-93b41f309974d7328d626db2dda4780e,False
19,9a59ef4f9944422c9efdbaf954cedb22,19,VDDLDbwqD_8-f31693a9c12778b384c75d18625d6b6e,VDDLDbwqD_8-f31693a9c12778b384c75d18625d6b6e,False
20,934fc1d6addc45898a24efb467896930,20,njZrG5cjfBo-e9eb190d20dfc20c0d7817819d7cbb8c,njZrG5cjfBo-e9eb190d20dfc20c0d7817819d7cbb8c,False
23,1d1eab86971e4391a853078447332d69,23,H6q_C70KwpM-67595e0d7be55383e30bf0f4418dc9b3,H6q_C70KwpM-67595e0d7be55383e30bf0f4418dc9b3,False
24,4d6183e8cb004454826e9a435057cfb5,24,27ARq1AJZyg-c261b5315bfb8b1e0552a35705c17184,27ARq1AJZyg-c261b5315bfb8b1e0552a35705c17184,False
26,91ae6cb2f5be4b27bf9ffcb1bd020594,26,8Rvu-jlsaOU-5b988b26edd0096ea42d3b804621d297,8Rvu-jlsaOU-5b988b26edd0096ea42d3b804621d297,False
30,6e75236e73ad456999accf246d618560,30,A4m9YvUzG2Y-ed876e1b27995cff531358ca11d7de60,A4m9YvUzG2Y-ed876e1b27995cff531358ca11d7de60,False
31,4nWsDuz3n9E-e94b6eddfae7db6b2b21562cb16f5ad9,31,4nWsDuz3n9E-e94b6eddfae7db6b2b21562cb16f5ad9,4nWsDuz3n9E-e94b6eddfae7db6b2b21562cb16f5ad9,True
32,52fcefea4d8d4690ade4c9943661ffd6,32,0Hz2L1V_ICo-2b4ff8776f4d0ad2fc8e99de9b1092d5,0Hz2L1V_ICo-2b4ff8776f4d0ad2fc8e99de9b1092d5,False
33,24e21bdeb71443e8a601071e5e49db06,33,5sl98RjqVgc-19dd304495cab317f61188b5ca4b4eb1,5sl98RjqVgc-19dd304495cab317f61188b5ca4b4eb1,False
34,923137c266d74af18b5f855f14946dc1,34,g7PSxWsnslI-744f3f86f7face1a28fb5a4b1a44fb0a,g7PSxWsnslI-744f3f86f7face1a28fb5a4b1a44fb0a,False
35,bpfli0ZF7do-606d605202d4ad7b0dadea8cfa790da3,35,bpfli0ZF7do-606d605202d4ad7b0dadea8cfa790da3,bpfli0ZF7do-606d605202d4ad7b0dadea8cfa790da3,True
36,8b5b1656d4b74789afce35a88d103bcd,36,rLQgyxeRx40-c1ceec9a935c550f87fbf8fd871e17f7,rLQgyxeRx40-c1ceec9a935c550f87fbf8fd871e17f7,False
37,WBGumMrBQJM-107a34f006f5f5698e525a4f7a011dea,37,WBGumMrBQJM-107a34f006f5f5698e525a4f7a011dea,WBGumMrBQJM-107a34f006f5f5698e525a4f7a011dea,True
40,a329420c0fa24e868e9f8e1eb81b11c2,40,6nXlX_LtJuI-7482cf266b54199f18066cd8148f641f,6nXlX_LtJuI-7482cf266b54199f18066cd8148f641f,False
44,c5aea3cbfa804c1a81dbf5eae46ca6ab,44,ISsMe_ZV7Gs-4d3a58617039b0b8c1b32d26fb61e8c3,ISsMe_ZV7Gs-4d3a58617039b0b8c1b32d26fb61e8c3,False
47,u3VDtLG8E_Y-851998683165ea933867e69048bcd6b6,47,u3VDtLG8E_Y-851998683165ea933867e69048bcd6b6,u3VDtLG8E_Y-851998683165ea933867e69048bcd6b6,True
48,b6ab0a6e93174254af4a0a2144714790,48,BCn8TM5HUrE-d70324addccf921b422eede23d770818,BCn8TM5HUrE-d70324addccf921b422eede23d770818,False
49,7NFLv137dRo-f5ea0a643e72c46dff2b5f52289f2ead,49,7NFLv137dRo-f5ea0a643e72c46dff2b5f52289f2ead,7NFLv137dRo-f5ea0a643e72c46dff2b5f52289f2ead,True
