,Q ID,filename,match_filename,isUnique,original_basename_q,original_basename_m
0,s3.videocitestest/_5g95MUIieM-7673d38ccc6e268bf6d79e61f388d37b.mp4,_5g95MUIieM-7673d38ccc6e268bf6d79e61f388d37b.mp4,57b2f7a882af484e9b4ac2553f8b34a0.mp4,False,_5g95MUIieM-7673d38ccc6e268bf6d79e61f388d37b.mp4,_5g95MUIieM-7673d38ccc6e268bf6d79e61f388d37b.mp4
1,s3.videocitestest/_a8srUndP8Y-48644a14cbb89129dccdcde0f5715de3.mp4,_a8srUndP8Y-48644a14cbb89129dccdcde0f5715de3.mp4,3dc7cc8c708242c191996d0b6dbb2ab3.webm,False,_a8srUndP8Y-48644a14cbb89129dccdcde0f5715de3.mp4,_a8srUndP8Y-48644a14cbb89129dccdcde0f5715de3.mp4
2,s3.videocitestest/_afTSrDroHs-06d2f1b68aabc513424f74184663caa9.mp4,_afTSrDroHs-06d2f1b68aabc513424f74184663caa9.mp4,28572544f875417fb926b5cc9c74c62a.mp4,False,_afTSrDroHs-06d2f1b68aabc513424f74184663caa9.mp4,_afTSrDroHs-06d2f1b68aabc513424f74184663caa9.mp4
3,s3.videocitestest/_bja8VCDY_w-129f9c4b34cfe6227d4311231e08ee3f.mp4,_bja8VCDY_w-129f9c4b34cfe6227d4311231e08ee3f.mp4,542e0f5646114c49838563b8cc69b74d.webm,False,_bja8VCDY_w-129f9c4b34cfe6227d4311231e08ee3f.mp4,_bja8VCDY_w-129f9c4b34cfe6227d4311231e08ee3f.mp4
9,s3.videocitestest/_IeeP6GgqAA-6d13b4ca9335abe139f9041d41ee24a3.mp4,_IeeP6GgqAA-6d13b4ca9335abe139f9041d41ee24a3.mp4,145691a0e4734dd0b604ffcc15745fea.webm,False,_IeeP6GgqAA-6d13b4ca9335abe139f9041d41ee24a3.mp4,XdI6HzPyg3w-130064e5158f4f72e75edfdd53a9c126.webm
13,s3.videocitestest/_sdRgUZzZ_M-a716c39f513f7579eba9a6ab3cd294e3.mp4,_sdRgUZzZ_M-a716c39f513f7579eba9a6ab3cd294e3.mp4,_sdRgUZzZ_M-a716c39f513f7579eba9a6ab3cd294e3.mp4,True,_sdRgUZzZ_M-a716c39f513f7579eba9a6ab3cd294e3.mp4,_sdRgUZzZ_M-a716c39f513f7579eba9a6ab3cd294e3.mp4
15,s3.videocitestest/_tt2AuFPkFQ-90cfc13d966b7f512f0d6f0fe63cafd4.mp4,_tt2AuFPkFQ-90cfc13d966b7f512f0d6f0fe63cafd4.mp4,409a414f74e3478bb2a3517d188b8c5c.ogv,False,_tt2AuFPkFQ-90cfc13d966b7f512f0d6f0fe63cafd4.mp4,_tt2AuFPkFQ-90cfc13d966b7f512f0d6f0fe63cafd4.mp4
23,s3.videocitestest/0099e4c9c290409fa0269aeedc4414e9.mp4,0099e4c9c290409fa0269aeedc4414e9.mp4,0099e4c9c290409fa0269aeedc4414e9.mp4,True,8G48DCy66VM-7e59416fd74d85643fe9f32254df30c8.mp4,8G48DCy66VM-7e59416fd74d85643fe9f32254df30c8.mp4
24,s3.videocitestest/00c235f48ba0445aa1e526f97af33f8e.mp4,00c235f48ba0445aa1e526f97af33f8e.mp4,00c235f48ba0445aa1e526f97af33f8e.mp4,True,NrKj036u3bM-5bdf2790d5c81982b43d06a3195efc54.mp4,NrKj036u3bM-5bdf2790d5c81982b43d06a3195efc54.mp4
25,s3.videocitestest/00ef2ffbb5cf4276bff33d0d4831cd0d.webm,00ef2ffbb5cf4276bff33d0d4831cd0d.webm,00ef2ffbb5cf4276bff33d0d4831cd0d.webm,True,ullnPRj8Cp0-133cdf55ae4ad7f5de5dc7ad2172ae12.webm,ullnPRj8Cp0-133cdf55ae4ad7f5de5dc7ad2172ae12.webm
27,s3.videocitestest/012ac03964e74ce78afe0585275690bb.webm,012ac03964e74ce78afe0585275690bb.webm,012ac03964e74ce78afe0585275690bb.webm,True,R-_1Aip_GNE-4142747702602b06e9ffc7e15b640ac9.webm,R-_1Aip_GNE-4142747702602b06e9ffc7e15b640ac9.webm
28,s3.videocitestest/0132fb63d0bc4832a9066397a36aafaf.mp4,0132fb63d0bc4832a9066397a36aafaf.mp4,0132fb63d0bc4832a9066397a36aafaf.mp4,True,SCYHBEiOZ24-b4045faa79aa026b9d483635377cb95e.mp4,SCYHBEiOZ24-b4045faa79aa026b9d483635377cb95e.mp4
29,s3.videocitestest/016ca6d5c602461eb8e9a4262b9a2cb8.mp4,016ca6d5c602461eb8e9a4262b9a2cb8.mp4,016ca6d5c602461eb8e9a4262b9a2cb8.mp4,True,4LIuaLBTc40-00bf70264109019a3aa6cc45dd1f3b81.mp4,4LIuaLBTc40-00bf70264109019a3aa6cc45dd1f3b81.mp4
30,s3.videocitestest/018MsV21q00-3419176ec77eea4da5161cf6faa05a3d.mp4,018MsV21q00-3419176ec77eea4da5161cf6faa05a3d.mp4,QGFBGnpXMqE-07d9e6754f49d3eb87d95767bff7e696.mp4,False,018MsV21q00-3419176ec77eea4da5161cf6faa05a3d.mp4,QGFBGnpXMqE-07d9e6754f49d3eb87d95767bff7e696.mp4
33,s3.videocitestest/01ceca777c58413ca920ba9610da90be.webm,01ceca777c58413ca920ba9610da90be.webm,01ceca777c58413ca920ba9610da90be.webm,True,YOfWo6I3ax0-74d95aa820d3ebc003ef8a0225e609cd.webm,YOfWo6I3ax0-74d95aa820d3ebc003ef8a0225e609cd.webm
35,s3.videocitestest/01f88d2deebd42ac801a7636875631d3.webm,01f88d2deebd42ac801a7636875631d3.webm,cN_BGt3hwR0-51ee4702378421e893fb34d07ff34f5d.mp4,False,TO2QIEFAkac-6fbbfc8d24bd6802beb84f7a03532adb.webm,cN_BGt3hwR0-51ee4702378421e893fb34d07ff34f5d.mp4
